type,constituency,station,candidat,date_start,date_end,time_candidat,time_support,time_mention
presidential,national,France 3,Pecresse Valerie,2022-01-01,2022-01-16,1.0833,0.15,0.9167
presidential,national,France 3,Pecresse Valerie,2022-01-16,2022-01-30,24.25,0.5,2.3833
presidential,national,France 3,Philippot Florian,2022-01-01,2022-01-16,0.1833,0,0
presidential,national,France 3,Philippot Florian,2022-01-16,2022-01-30,0,0,0
presidential,national,France 3,Poutou Philippe,2022-01-16,2022-01-30,0.05,0,0
presidential,national,France 3,Roussel Fabien,2022-01-01,2022-01-16,21.35,0,0.75
presidential,national,France 3,Roussel Fabien,2022-01-16,2022-01-30,0.2,0,0.2167
presidential,national,France 3,Taubira Christiane,2022-01-01,2022-01-16,0.8,0.1,2.4
presidential,national,France 3,Taubira Christiane,2022-01-16,2022-01-30,0.2167,0,0.5167
presidential,national,France 3,Thouy Helene,2022-01-01,2022-01-16,0.1167,0,0
presidential,national,France 3,Thouy Helene,2022-01-16,2022-01-30,0.1833,0,0
presidential,national,France 3,Zemmour Eric,2022-01-01,2022-01-16,20.8833,0.35,2.95
presidential,national,France 3,Zemmour Eric,2022-01-16,2022-01-30,1.4333,0.9167,2.5833
presidential,national,France 5,Arthaud Nathalie,2022-01-01,2022-01-16,0.1333,0,0
presidential,national,France 5,Arthaud Nathalie,2022-01-16,2022-01-30,0.2,0,0
presidential,national,France 5,Dupont Aignan Nicolas,2022-01-01,2022-01-16,0,0,0.25
presidential,national,France 5,Dupont Aignan Nicolas,2022-01-16,2022-01-30,3.0667,0,0
presidential,national,France 5,Hidalgo Anne,2022-01-01,2022-01-16,2.05,2.4333,0
presidential,national,France 5,Hidalgo Anne,2022-01-16,2022-01-30,41.65,2.4,0.25
presidential,national,France 5,Jadot Yannick,2022-01-01,2022-01-16,2.1,0.95,0
presidential,national,France 5,Jadot Yannick,2022-01-16,2022-01-30,49.6333,12.7833,2.6333
presidential,national,France 5,Koenig Gaspard,2022-01-01,2022-01-16,2.0333,0,3.2333
presidential,national,France 5,Koenig Gaspard,2022-01-16,2022-01-30,0,0,0
presidential,national,France 5,Larrouturou Pierre,2022-01-01,2022-01-16,0.3333,0,0
presidential,national,France 5,Larrouturou Pierre,2022-01-16,2022-01-30,0,0,0
presidential,national,France 5,Le Pen Marine,2022-01-01,2022-01-16,7.2,5.75,7.5667
presidential,national,France 5,Le Pen Marine,2022-01-16,2022-01-30,11.8833,1.75,3.5833
presidential,national,France 5,Macron Emmanuel,2022-01-01,2022-01-16,4.0167,0,2.15
presidential,national,France 5,Macron Emmanuel,2022-01-16,2022-01-30,7.4833,18.1833,10.25
